OBJECTID *,SHAPE *,Fire ID,Fire Year,Decade,Fire Number,Fire District,Area (ha) of full polygon,Perimeter Source,Drafting Method,Comments,SHAPE_Length,SHAPE_Area (within inventory region only)
153,Polygon Z,2023DA050,2023,2020,50,Dawson,389.397754,Sentinel-2,"Multi-Acquisition Fire Mapping System (MAFiMS)",location updated using NBAC or require an ignition point,26909.97531,3893977.488
199,Polygon Z,2023DA037,2023,2020,37,Dawson,34.6,30m LandSAT 9 Satellite Imagery,Digitize: Heads-up, ,2216.198414,345559.6382
11,Polygon Z,2024DA013,2024,2020,13,Dawson,16.925692,GPS Trace,Digitize: Heads-up,location updated using NBAC or require an ignition point,3183.178513,169256.9231
35,Polygon Z,2024DA034,2024,2020,34,Dawson,68.6,Sentinel-2 Satellite Imagery,Multi-Acquisition Fire Mapping System (MAFiMS), ,7776.041578,685979.8073
49,Polygon Z,2024DA024,2024,2020,24,Dawson,26.5,Landsat-9 OLI-2 Satellite Imagery,Multi-Acquisition Fire Mapping System (MAFiMS), ,2356.744636,264650.2973
65,Polygon Z,2024DA004,2024,2020,4,Dawson,7.270746,Sentinel-2 Satellite Imagery,Multi-Acquisition Fire Mapping System (MAFiMS),location updated using NBAC or require an ignition point,1123.7653,72707.46219
86,Polygon Z,2024DA007,2024,2020,7,Dawson,2364.1,Sentinel-2 Satellite Imagery,Multi-Acquisition Fire Mapping System (MAFiMS), ,82878.2642,17260321.02
95,Polygon Z,2024DA023,2024,2020,23,Dawson,14.537046,GPS Trace,GPS: Ground Trace,location updated using NBAC or require an ignition point,3549.993648,145370.4598
113,Polygon Z,2024DA015,2024,2020,15,Dawson,2249.7,Sentinel-2 Satellite Imagery,Multi-Acquisition Fire Mapping System (MAFiMS), ,102979.9806,22497492.16
119,Polygon Z,2024DA036,2024,2020,36,Dawson,8.1,Sentinel-2 Satellite Imagery,Multi-Acquisition Fire Mapping System (MAFiMS), ,1114.05694,81390.87163
176,Polygon Z,2024DA011,2024,2020,11,Dawson,768.2,Sentinel-2 Satellite Imagery,Multi-Acquisition Fire Mapping System (MAFiMS), ,35199.18826,7681637.922
180,Polygon Z,2024DA027,2024,2020,27,Dawson,180.4,Sentinel-2 Satellite Imagery,Multi-Acquisition Fire Mapping System (MAFiMS), ,14274.86043,1803582.707
189,Polygon Z,2024DA021,2024,2020,21,Dawson,103.349103,Landsat-9 OLI-2 Satellite Imagery,Multi-Acquisition Fire Mapping System (MAFiMS),location updated using NBAC or require an ignition point,3684.886967,255663.2699
5,Polygon Z,2025DA018,2025,2020,18,Dawson,1513.3,Landsat-9 OLI-2 Satellite Imagery,Multi-Acquisition Fire Mapping System (MAFiMS),<Null>,71972.43157,15133333.26
23,Polygon Z,2025DA001,2025,2020,1,Dawson,78.9,Sentinel-2 Satellite Imagery,Multi-Acquisition Fire Mapping System (MAFiMS),<Null>,4740.635076,789282.1179
98,Polygon Z,2025DA008,2025,2020,8,Dawson,2.7,Landsat-9 OLI-2 Satellite Imagery,Multi-Acquisition Fire Mapping System (MAFiMS),<Null>,677.72829,27238.34999
99,Polygon Z,2025DA016,2025,2020,16,Dawson,6254.9,Sentinel-2 Satellite Imagery,Multi-Acquisition Fire Mapping System (MAFiMS),<Null>,171397.193,62549035.27
115,Polygon Z,2025DA025,2025,2020,25,Dawson,915.3,Landsat-9 OLI-2 Satellite Imagery,Multi-Acquisition Fire Mapping System (MAFiMS),<Null>,38858.32831,9152836.705
130,Polygon Z,2025DA027,2025,2020,27,Dawson,5625.3,Sentinel-2 Satellite Imagery,Multi-Acquisition Fire Mapping System (MAFiMS),<Null>,103058.0414,37932503.72
136,Polygon Z,2025DA013,2025,2020,13,Dawson,12825.2,Sentinel-2 Satellite Imagery,Multi-Acquisition Fire Mapping System (MAFiMS),<Null>,235744.4743,78322299.13
163,Polygon Z,2025DA020,2025,2020,20,Dawson,4.2,Sentinel-2 Satellite Imagery,Multi-Acquisition Fire Mapping System (MAFiMS),<Null>,811.070063,41715.37294
170,Polygon Z,2025DA004,2025,2020,4,Dawson,6.7,Sentinel-2 Satellite Imagery,Multi-Acquisition Fire Mapping System (MAFiMS),<Null>,1259.210274,66792.59099
188,Polygon Z,2025DA012,2025,2020,12,Dawson,3130.1,Landsat-9 OLI-2 Satellite Imagery,Multi-Acquisition Fire Mapping System (MAFiMS),<Null>,92525.19191,31300751.59
198,Polygon Z,2025DA007,2025,2020,7,Dawson,11126.9,Sentinel-2 Satellite Imagery,Multi-Acquisition Fire Mapping System (MAFiMS),<Null>,257477.6812,111269032.6
201,Polygon Z,2025DA017,2025,2020,17,Dawson,3307.8,Sentinel-2 Satellite Imagery,Multi-Acquisition Fire Mapping System (MAFiMS),<Null>,130348.9039,28621713.07
21,Polygon Z,998008004,9980,1980,4,Dawson,33.2201,30m LandSAT 7 Satellite Imagery,Digitize: Heads-up,Undocumented fire.,2429.473315,332201.0486
62,Polygon Z,998008002,9980,1980,2,Dawson,133.98704,30m LandSAT 7 Satellite Imagery,Digitize: Heads-up,Undocumented fire.,8211.281695,1339870.384
83,Polygon Z,998008003,9980,1980,3,Dawson,44.28609,30m LandSAT 7 Satellite Imagery,Digitize: Heads-up,Undocumented fire.,3080.901483,442860.931
155,Polygon Z,998008005,9980,1980,5,Dawson,201.04785,30m LandSAT 7 Satellite Imagery,Digitize: Heads-up,Undocumented fire.,11464.44854,2010478.456
30,Polygon Z,999008010,9990,1990,10,Dawson,137.38094,30m LandSAT 7 Satellite Imagery,Digitize: Heads-up,Undocumented fire.,7199.411379,1373809.438
46,Polygon Z,999008006,9990,1990,6,Dawson,194.35587,30m LandSAT 7 Satellite Imagery,Digitize: Heads-up,Undocumented fire.,13141.79348,1943558.73
156,Polygon Z,999008005,9990,1990,5,Dawson,28.77643,30m LandSAT 7 Satellite Imagery,Digitize: Heads-up,Undocumented fire.,2357.055952,287764.2982
