OBJECTID *,SHAPE *,Fire ID,Fire Year,Decade,Fire Number,Fire District,Area (ha) of full polygon,Perimeter Source,Drafting Method,Comments,SHAPE_Length,SHAPE_Area (within inventory region only)
15,Polygon Z,198608014,1986,1980,14,Dawson,4273.26699,30m LandSAT 7 Satellite Imagery,Digitize: Heads-up, ,28375.01802,16705188.2
24,Polygon Z,198608015,1986,1980,15,Dawson,236.51778,30m LandSAT 7 Satellite Imagery,Digitize: Heads-up, ,347.309908,2453.156494
56,Polygon Z,198608021,1986,1980,21,Dawson,2.173926,LandSAT,C2C,location updated using NBAC or require an ignition point,871.074145,21739.26246
84,Polygon Z,198608019,1986,1980,19,Dawson,0,LandSAT,"Multi-Acquisition Fire Mapping System (MAFiMS)",Updated 2025 from NBAC,299279.2948,68131198.92
102,Polygon Z,198608040,1986,1980,40,Dawson,543.86414,30m LandSAT 7 Satellite Imagery,Digitize: Heads-up, ,24013.19169,3587224.643
103,Polygon Z,198608027,1986,1980,27,Dawson,1534.82299,Sketch Map Not Specified,Digitize: Tablet Analogue Source, ,13584.38548,8638403.863
112,Polygon Z,198608034,1986,1980,34,Dawson,4640.11328,30m LandSAT 7 Satellite Imagery,Digitize: Heads-up, ,56624.76013,46401132.82
152,Polygon Z,198608038,1986,1980,38,Dawson,385.051908,LandSAT,C2C,location updated using NBAC or require an ignition point,29100.45207,3850519.073
13,Polygon Z,198908021,1989,1980,21,Dawson,0,LandSAT,C2C,Updated 2025 from NBAC,202945.6625,51089537.73
34,Polygon Z,198908020,1989,1980,20,Dawson,0,LandSAT,C2C,Updated 2025 from NBAC,225235.6152,51621814.44
137,Polygon Z,198908023,1989,1980,23,Dawson,0,LandSAT,C2C,Updated 2025 from NBAC,167069.1578,31222172.51
164,Polygon Z,198908017,1989,1980,17,Dawson,0,LandSAT,C2C,Updated 2025 from NBAC,208795.1957,27766961.58
148,Polygon Z,199008017,1990,1990,17,Dawson,428.94386,30m LandSAT 7 Satellite Imagery,Digitize: Heads-up, ,19292.23329,4289438.647
161,Polygon Z,999008007,1990,1990,7,Dawson,0,LandSAT,C2C,Updated 2025 from NBAC,3986.365146,277904.9894
27,Polygon Z,199108020,1991,1990,20,Dawson,153.205218,LandSAT,C2C,location updated using NBAC or require an ignition point,18577.98076,1504428.148
38,Polygon Z,199108002,1991,1990,2,Dawson,2831.32616,30m LandSAT 7 Satellite Imagery,Digitize: Heads-up, ,51950.17936,24828946.42
61,Polygon Z,199108028,1991,1990,28,Dawson,0,LandSAT,C2C,Updated 2025 from NBAC,115851.4791,20276677.63
82,Polygon Z,199108015,1991,1990,15,Dawson,15131.57597,30m LandSAT 7 Satellite Imagery,Digitize: Heads-up, ,127431.2458,151315759.7
85,Polygon Z,199108027,1991,1990,27,Dawson,0,LandSAT,C2C,Updated 2025 from NBAC,47226.48111,6017427.472
91,Polygon Z,199108011,1991,1990,11,Dawson,0,LandSAT,C2C,Updated 2025 from NBAC,69758.42213,17910570.23
101,Polygon Z,199108021,1991,1990,21,Dawson,0,LandSAT,C2C,Updated 2025 from NBAC,77061.92607,16678117.17
104,Polygon Z,199108033,1991,1990,33,Dawson,1619.45959,30m LandSAT 7 Satellite Imagery,Digitize: Heads-up, ,23531.15921,16194595.93
120,Polygon Z,199108019,1991,1990,19,Dawson,0,LandSAT,C2C,Updated 2025 from NBAC,41888.08565,5548449.473
142,Polygon Z,199108018,1991,1990,18,Dawson,60.146099,30m LandSAT 7 Satellite Imagery,Digitize: Heads-up,location updated using NBAC or require an ignition point,5874.988286,601460.9886
173,Polygon Z,199108014,1991,1990,14,Dawson,20.748503,LandSAT,C2C,location updated using NBAC or require an ignition point,2819.229452,207485.0298
105,Polygon Z,199408010,1994,1990,10,Dawson,0,LandSAT,Multi-Acquisition Fire Mapping System (MAFiMS),Updated 2025 from NBAC,60404.39607,13992145.4
111,Polygon Z,999008003,1994,1990,3,Dawson,0,LandSAT,C2C,Updated 2025 from NBAC,1039.854943,52213.03819
151,Polygon Z,199408010,1994,1990,10,Dawson,1456.10387,30m LandSAT 7 Satellite Imagery,Digitize: Heads-up, ,33114.94936,14561038.68
175,Polygon Z,199408037,1994,1990,37,Dawson,0,LandSAT,C2C,Updated 2025 from NBAC,111146.2672,27770626.86
202,Polygon Z,199408046,1994,1990,46,Dawson,0,LandSAT,C2C,Updated 2025 from NBAC,476.339917,8665.79706
31,Polygon Z,199508002,1995,1990,2,Dawson,0,LandSAT,C2C,Updated 2025 from NBAC,39640.814,10446296.89
72,Polygon Z,199508005,1995,1990,5,Dawson,0,LandSAT,C2C,Updated 2025 from NBAC,782.436379,43605.94662
147,Polygon Z,199508006,1995,1990,6,Dawson,788.81284,30m LandSAT 7 Satellite Imagery,Digitize: Heads-up, ,23775.58309,7888128.375
59,Polygon Z,199608008,1996,1990,8,Dawson,0,LandSAT,C2C,Updated 2025 from NBAC,1617.378383,55122.53234
92,Polygon Z,199608042,1996,1990,42,Dawson,62.348594,LandSAT,C2C,location updated using NBAC or require an ignition point,14542.16768,623485.9423
166,Polygon Z,199708001,1997,1990,1,Dawson,57.066086,LandSAT,C2C,location updated using NBAC or require an ignition point,5689.843804,570660.8473
195,Polygon Z,199808008,1998,1990,8,Dawson,0,LandSAT,C2C,Updated 2025 from NBAC,24982.7241,6218830.621
12,Polygon Z,199908025,1999,1990,25,Dawson,7.680716,LandSAT,C2C,location updated using NBAC or require an ignition point,1523.071106,76807.16131
19,Polygon Z,199908004,1999,1990,4,Dawson,0,LandSAT,C2C,Updated 2025 from NBAC,188553.6743,67192014.54
29,Polygon Z,199908024,1999,1990,24,Dawson,0,LandSAT,C2C,Updated 2025 from NBAC,8370.343639,1203805.238
43,Polygon Z,199908011,1999,1990,11,Dawson,16120.21487,30m LandSAT 7 Satellite Imagery,Digitize: Heads-up, ,122228.5663,156060666.9
55,Polygon Z,199908043,1999,1990,43,Dawson,0,LandSAT,C2C,Updated 2025 from NBAC,58174.44479,4326674.653
106,Polygon Z,199908006,1999,1990,6,Dawson,0,LandSAT,"Multi-Acquisition Fire Mapping System (MAFiMS)",Updated 2025 from NBAC,1632509.706,240373987.8
118,Polygon Z,199908016,1999,1990,16,Dawson,8.634753,30m LandSAT 7 Satellite Imagery,Digitize: Heads-up,location updated using NBAC or require an ignition point,1132.33168,86347.53124
150,Polygon Z,199908048,1999,1990,48,Dawson,123.912022,30m LandSAT 7 Satellite Imagery,Digitize: Heads-up,location updated using NBAC or require an ignition point,8029.304427,1239120.217
158,Polygon Z,199908003,1999,1990,3,Dawson,31836.60011,30m LandSAT 7 Satellite Imagery,Digitize: Heads-up, ,206937.4169,314171312.3
172,Polygon Z,199908002,1999,1990,2,Dawson,0,LandSAT,C2C,Updated 2025 from NBAC,11614.41244,1264851.467
182,Polygon Z,199908030,1999,1990,30,Dawson,38.743489,LandSAT,C2C,location updated using NBAC or require an ignition point,4240.072958,387434.8908
184,Polygon Z,199908013,1999,1990,13,Dawson,0,LandSAT,C2C,Updated 2025 from NBAC,104930.2864,15030624.72
191,Polygon Z,199908032,1999,1990,32,Dawson,432.6074,30m LandSAT 7 Satellite Imagery,Digitize: Heads-up, ,12632.81501,4326074.017
196,Polygon Z,199908007,1999,1990,7,Dawson,1254.77629,30m LandSAT 7 Satellite Imagery,Digitize: Heads-up, ,34430.45049,12547762.85
94,Polygon Z,200008004,2000,2000,4,Dawson,0,LandSAT,C2C,Updated 2025 from NBAC,1278.336275,64882.06194
